decision_time,direction,confidence,entry_btc,exit_btc,btc_up,correct,pnl,vol_regime,hour
2026-05-07T16:39:00+00:00,long,0.6033,79813.34,79899.92,True,True,1.0,LOW,16
2026-05-07T18:24:00+00:00,short,0.77,80197.93,80192.46,False,True,1.0,LOW,18
2026-05-07T19:09:00+00:00,long,0.6033,80100.03,80151.5,True,True,1.0,LOW,19
2026-05-07T19:39:00+00:00,short,0.645,80181.78,80127.4,False,True,1.0,LOW,19
2026-05-07T20:39:00+00:00,long,0.645,79935.84,79949.32,True,True,1.0,LOW,20
2026-05-07T21:09:00+00:00,long,0.57,79672.83,79743.64,True,True,1.0,LOW,21
2026-05-07T21:24:00+00:00,short,0.77,79866.78,79889.57,True,False,-1.0,LOW,21
2026-05-07T22:54:00+00:00,short,0.645,79913.99,79890.0,False,True,1.0,LOW,22
2026-05-07T23:09:00+00:00,short,0.645,79998.88,79980.34,False,True,1.0,LOW,23
2026-05-08T00:39:00+00:00,long,0.6773,79926.16,79894.26,False,False,-1.0,LOW,0
2026-05-08T00:54:00+00:00,long,0.6773,79776.32,79893.5,True,True,1.0,LOW,0
2026-05-08T02:09:00+00:00,long,0.6033,79581.4,79612.78,True,True,1.0,LOW,2
2026-05-08T03:24:00+00:00,short,0.6033,79593.99,79593.78,False,True,1.0,LOW,3
2026-05-08T04:09:00+00:00,short,0.645,79642.97,79676.81,True,False,-1.0,LOW,4
2026-05-08T08:54:00+00:00,short,0.616,79950.0,79880.61,False,True,1.0,LOW,8
2026-05-08T10:39:00+00:00,short,0.645,80056.93,80130.68,True,False,-1.0,LOW,10
2026-05-08T10:54:00+00:00,short,0.6033,80207.8,80288.19,True,False,-1.0,LOW,10
2026-05-08T12:24:00+00:00,short,0.6033,80296.54,80206.43,False,True,1.0,LOW,12
2026-05-08T13:09:00+00:00,long,0.7095,79907.65,79777.74,False,False,-1.0,LOW,13
2026-05-08T14:09:00+00:00,long,0.572,79859.52,79963.83,True,True,1.0,LOW,14
2026-05-08T14:24:00+00:00,long,0.572,80254.49,79822.31,False,False,-1.0,LOW,14
2026-05-08T15:09:00+00:00,long,0.7095,79978.17,79835.49,False,False,-1.0,LOW,15
2026-05-08T15:24:00+00:00,long,0.627,79702.66,79653.62,False,False,-1.0,LOW,15
2026-05-08T15:54:00+00:00,long,0.6637,80142.13,80179.45,True,True,1.0,LOW,15
2026-05-08T16:39:00+00:00,long,0.6033,79791.4,79813.73,True,True,1.0,LOW,16
2026-05-08T17:24:00+00:00,short,0.6033,79945.47,80146.59,True,False,-1.0,LOW,17
2026-05-08T18:24:00+00:00,short,0.645,80284.27,80249.99,False,True,1.0,LOW,18
2026-05-08T21:24:00+00:00,short,0.6033,80195.68,80190.27,False,True,1.0,LOW,21
2026-05-08T23:39:00+00:00,long,0.6033,80137.84,80171.71,True,True,1.0,LOW,23
2026-05-09T00:09:00+00:00,long,0.6773,80134.29,80155.7,True,True,1.0,LOW,0
2026-05-09T01:09:00+00:00,short,0.6773,80263.41,80337.69,True,False,-1.0,LOW,1
2026-05-09T01:39:00+00:00,short,0.6335,80352.39,80372.31,True,False,-1.0,LOW,1
2026-05-09T01:54:00+00:00,short,0.6335,80424.43,80349.78,False,True,1.0,LOW,1
2026-05-09T03:39:00+00:00,long,0.645,80339.3,80347.62,True,True,1.0,LOW,3
2026-05-09T04:09:00+00:00,short,0.645,80600.01,80540.01,False,True,1.0,LOW,4
2026-05-09T05:54:00+00:00,long,0.645,80380.3,80381.79,True,True,1.0,LOW,5
2026-05-09T08:24:00+00:00,short,0.616,80389.37,80429.61,True,False,-1.0,LOW,8
